Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,13,19,0%
,Jordan,,,,,29,,,6,,,,,,,,,,,,,,,,,,,,,,,,6,,,42,0.1%
,Malaysia,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0%
,Netherlands,6,6,,32,94,95,,,,18,15,,7,,7,16,,311,152,152,,14,,21,21,5,,464,19,36,3,98,10,,1599,2.6%
,New Zealand,,,1,,,,,,,1,1,,1,,1,0,,,,,,,,,,,,,,,,,,,5,0%
,North Korea,,,,,,,4,4,31,11,,,,,,,,,,7,6,,,,,,,,,,,,,,62,0.1%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,63,,,78,0.1%
,Pakistan,,,,,,,,,,,,,8,8,,,,,,,,,,,,,,,,,,,,,16,0%
,Poland,,,,,,,,,,,,,4,,,15,,31,73,67,19,,15,15,,,1,,,,,,,,240,0.4%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,0%
,Romania,,,,,,,,2,,,,,,,,,,,,1,1,0,,,,,,,,,,,,,4,0%
,Russia,,,,,,807,172,181,210,178,9,178,244,248,447,304,167,521,623,628,394,1460,927,731,1152,777,719,534,485,187,91,104,188,120,12786,21%
,Serbia,,,,,,,,,,,,15,,,,,5,5,45,,30,,,,,,,,,,,,,,100,0.2%
,Singapore,,,,,,,,5,,,,,4,,65,,,,,,3,4,75,,,,,,,,,,,11,166,0.3%
,Slovakia,,,,,,,,,8,,4,,,,,,,,,,,,5,,5,,5,,,,,,,,28,0%
,South Africa,,,20,,,,,,,,,10,12,,0,,,,13,,,7,2,9,,,18,23,21,18,24,14,6,6,202,0.3%
,South Korea,,,,24,7,27,24,,32,,,,,96,5,2,10,174,6,94,,119,19,206,136,39,33,379,533,314,288,364,19,5,2954,4.9%
,Spain,,,,,,,13,471,,8,,,,,,13,13,13,,300,,,25,49,45,148,175,73,,25,,,38,29,1435,2.4%
,Sweden,15,15,3,3,,180,,77,,23,213,135,3,17,3,0,,,,,27,284,149,185,12,14,14,6,25,5,5,,20,5,1434,2.4%
,Switzerland,,47,47,,,0,0,5,17,10,,11,6,,,,,13,95,,9,,,,36,120,6,26,,,57,,,2,507,0.8%
,Thailand,,,,,,,,,,,,,,7,7,,,,,,,,,,,,2,2,,1,,,,,20,0%
,Turkiye,,,,,,,,,,,,,27,43,14,,,,,,34,,,,16,18,23,29,22,22,22,17,43,31,361,0.6%
,UAE,,,,,,26,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,28,0%
,Ukraine,,,,5,17,27,40,5,4,58,10,,15,40,,16,26,14,20,51,31,39,178,69,82,60,85,109,65,6,0,2,2,,1075,1.8%
,United Kingdom,4,8,175,15,277,122,227,128,139,594,76,13,20,68,23,37,55,53,,3,8,,5,46,601,28,58,51,64,147,39,17,17,17,3132,5.1%
,United States,598,359,82,261,312,342,530,1213,679,258,551,82,370,212,433,567,76,55,55,729,687,554,496,846,266,271,789,470,174,46,183,417,428,234,13625,22%
,unknown supplier(s),,,,,,,,,,,,,,,0,,,,,,,1,,,,4,3,,4,1,,8,14,,34,0.1%
,Viet Nam,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,24,0%
Asia and Oceania,Regional total,12236,10665,7960,8968,7319,10038,9791,13389,10886,11497,8231,8711,8342,8986,9621,8745,9095,9739,10095,11063,12086,13948,13168,12956,11798,11329,11535,12909,11949,12296,10099,11329,10068,8533,359380,100%
,Argentina,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,Australia,168,90,,,18,12,16,20,,,,1,17,8,,,8,17,17,73,113,47,15,24,35,53,32,35,9,29,21,35,17,30,957,0.3%
,Austria,,,,,,,18,,18,,,,,,,,,,,2,3,5,,,,,,2,2,2,4,3,2,7,67,0%
,Belarus,,,,,,,,13,13,13,,,,6,,,,,,,,2,,170,60,66,82,23,23,43,23,23,23,15,596,0.2%
,Belgium,1,1,,,,,3,4,1,,,,,,,,,,,,,,,13,1,9,4,17,16,2,3,3,67,11,155,0%
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,14,,3,,,,,,,,,,,17,0%
,Brazil,,,,,,,,,,,,,20,,,,,,,,17,,18,3,28,52,112,14,27,21,53,23,2,,388,0.1%
,Brunei,,,,,,,,,,,,,,,,,,,,,,24,,,,,12,,,,,,,,36,0%
,Bulgaria,,,,,,,4,4,,7,,,,,,,,,,,4,,,4,,,,,,,,,,,23,0%
,Cambodia,,,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Canada,11,20,36,36,19,30,22,1,4,2,2,10,8,104,108,22,4,6,11,5,,0,16,26,34,124,21,20,11,22,3,5,6,10,758,0.2%
,China,771,1046,495,1080,725,741,439,286,276,239,131,372,298,332,174,192,414,310,345,786,784,960,1108,1553,799,1217,1552,1186,925,1443,521,1058,1800,2078,26433,7.4%
,Czechia,,,,32,139,32,17,10,,,10,19,1,28,1,26,0,15,33,17,0,0,0,29,12,20,34,0,0,12,0,1,14,19,521,0.1%
,Czechoslovakia,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0%
,Denmark,,,,,19,,,,,,,,,2,,,,5,,2,,17,7,,9,5,,5,5,2,,5,36,27,145,0%
,Egypt,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,96,0%
,Finland,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,0%
,France,312,299,320,333,300,290,1079,2119,2124,671,328,355,298,567,498,444,430,744,1590,1368,293,737,545,485,428,600,470,921,831,1689,1019,2147,1047,482,26160,7.3%
,Georgia,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12,0%
,Germany,555,497,378,460,899,469,744,501,395,555,470,536,319,312,349,324,408,416,638,711,469,553,111,127,558,208,601,615,516,495,486,193,144,843,15857,4.4%
,India,0,0,7,0,0,0,0,0,0,0,21,2,0,4,24,5,33,23,15,,5,3,,11,5,39,15,37,37,5,153,2,3,30,479,0.1%
,Indonesia,,,,,,,,9,,54,,18,54,,27,9,9,,1,,,,,,,,85,85,15,9,,,,,375,0.1%
,Ireland,,,,,,,,,,,,,,,,24,48,47,40,40,37,,40,39,21,,,,,,,,,,337,0.1%
,Israel,68,88,60,28,34,39,151,124,155,112,279,188,244,203,249,287,271,207,65,243,206,243,261,191,198,233,731,826,737,251,171,302,477,820,8741,2.4%
,Italy,133,97,46,154,26,122,24,184,112,408,106,100,187,85,95,81,77,29,27,147,155,522,202,200,86,122,111,173,251,71,8,169,57,64,4429,1.2%
,Japan,30,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,13,49,0%
,Jordan,,,,,29,,,6,,,,,,,,,,,,,,,,24,114,7,,,,,,6,,,188,0.1%
,Kazakhstan,,,,,,7,12,3,3,3,3,13,,,6,,,,,,,,,,,,,,,,,,,,51,0%
,Kyrgyzstan,,,,,,54,,,,,,,,76,,,18,18,,,,,,,,4,5,5,,,,,,,180,0.1%
,Lebanon,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48,0%
,Libya,,,,,,,,,,,,,,,113,113,,9,14,14,9,,,,,,,,,,,,,,270,0.1%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,0%
,Malaysia,,,,,,,,,,11,,,,,,,,,,0,,,,,,,,,,,,,,,11,0%
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,0%
,Netherlands,219,158,162,218,319,246,100,140,157,125,84,37,7,69,67,66,5,424,162,161,29,19,15,30,40,29,14,509,19,36,96,107,76,32,3974,1.1%
,New Zealand,,34,4,,3,,,,,1,1,,1,,1,0,,,,,,,,,,,,,1,,,,,2,48,0%
,North Korea,,,,,,,7,7,31,11,,,,,,,,,,7,6,,,,,,,,,,,,,,68,0%
,Norway,,,,,,,,,,,,11,16,15,,,,3,,1,,,26,,,,,,,,17,63,,21,173,0%
,Oman,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Pakistan,80,,,,,,,,,,4,,8,8,9,6,,,1,,,,,,,,,,,,,,,,116,0%
,Poland,33,22,17,,30,,,,0,6,16,49,26,56,39,15,218,132,73,67,19,,15,26,,,1,,,6,,,6,,874,0.2%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,11,0%
,Romania,,,,,,,,2,,,,,,,,3,,,,1,1,0,,,,,,,,,,,,,7,0%
,Russia,,,1783,1621,671,2691,2265,2396,947,2892,3216,4101,4778,4475,4956,4200,3701,3742,3458,3275,3626,5042,5732,5367,3586,4039,3630,3414,3724,2887,2078,1985,2034,1024,103337,29%
,Serbia,,,,,,,,,,,,15,,,,,5,5,45,,30,,,10,,10,9,,27,,,2,,,158,0%
,Seychelles,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Singapore,44,3,3,,,,1,12,,,1,,4,,65,,,,,,3,4,75,,,,,,,,,,,11,225,0.1%
,Slovakia,,,,1,,45,50,55,8,,4,27,30,,,,3,,9,,,,5,,5,,5,,,,,,,,248,0.1%
,South Africa,,,20,,,,,,,18,,25,12,,2,1,,,13,,,12,40,47,,,22,46,41,44,45,16,19,6,428,0.1%
,South Korea,72,108,,60,7,27,24,25,32,,10,180,,96,5,2,54,174,6,94,,134,19,206,136,39,33,379,559,505,575,390,19,5,3974,1.1%
,Soviet Union,4359,2837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7196,2%
,Spain,,9,9,18,90,,13,471,,8,,,,,,13,13,13,,300,,,25,84,550,653,225,610,499,25,499,248,51,94,4515,1.3%
,Sri Lanka,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Sweden,66,31,9,15,6,186,257,89,257,281,219,646,17,279,19,15,15,7,13,104,291,314,178,228,56,54,30,18,52,93,85,80,20,5,4031,1.1%
,Switzerland,110,161,127,75,75,55,50,38,49,75,65,76,71,65,65,65,65,117,233,109,74,65,65,110,148,219,91,128,108,133,57,,,2,2946,0.8%
,Thailand,,,,,,,,,,,,,,7,7,,79,,,,,,,,,,2,2,,1,,3,,,102,0%
,Turkiye,,,,,,3,3,0,,3,,3,27,43,14,,,31,34,7,34,42,43,65,62,135,152,119,141,30,23,205,99,337,1654,0.5%
,UAE,,,,,,26,,,,,,,,,,,,,,34,,,,,,,2,2,,,,1,,,65,0%
,Ukraine,,,25,30,51,105,171,508,462,532,112,84,94,139,129,114,190,98,110,148,102,237,906,313,287,217,238,230,225,96,95,148,72,34,6300,1.8%
,United Kingdom,476,469,458,338,708,254,291,251,220,753,381,419,259,188,240,252,140,267,305,208,259,303,292,289,854,263,372,113,138,277,111,238,232,77,10695,3%
,United States,4712,4645,4002,4442,3147,4601,4031,6111,5613,4718,2768,1424,1494,1567,2220,2467,2871,2877,2824,2932,5308,4442,3408,3278,3689,2871,2770,3373,2994,4065,3952,3810,3675,2436,119539,33%
,unknown supplier(s),,5,,,,,0,,1,0,,1,5,1,2,1,2,,17,,,1,,,,4,3,,4,1,,8,19,1,76,0%
,Uzbekistan,,,,,,,,,,,,,,252,126,,,,,209,209,209,,,,34,68,,,,,,,,1107,0.3%
,Viet Nam,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,10,,,,,,24,0%
,Yugoslavia,17,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0%
AU/OAU,Regional total,1722,2214,1221,1500,2801,2198,1457,1564,1294,1683,1872,1828,1405,1514,1694,1879,2155,2389,2754,1809,2650,3169,2236,2107,2079,2959,5387,4229,3629,1855,2490,2268,1661,2112,75783,100%
,Albania,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,0%
,Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,0%
,Angola,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0%
,Armenia,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,0%
,Australia,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,0%
,Austria,,,,,,,,3,,,15,,79,,0,,,,1,1,1,2,2,,,,1,1,1,,,,1,2,107,0.1%
,Belarus,,,,8,,7,25,36,34,390,118,35,47,28,19,34,,4,51,14,15,,,66,8,48,42,17,19,41,36,34,36,,1210,1.6%
,Belgium,,,,,,,,,,,,,18,,,,,21,12,1,7,,,,,,,,,,,,,,60,0.1%
,Bosnia-Herzegovina,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,2,,10,0%
,Brazil,27,,,,54,,,,18,,,,,,10,,,6,,11,,14,10,27,3,,,,18,,,54,,,251,0.3%
,Bulgaria,,,,28,,,,2,41,87,6,,25,20,19,68,,8,4,13,,,13,8,4,17,0,16,14,10,3,7,17,,430,0.6%
,Canada,37,,,,4,8,25,53,2,,26,,,,,16,9,,,1,1,8,4,15,18,9,15,,2,5,1,8,7,9,283,0.4%
,Chile,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0%
,China,73,172,52,36,70,35,10,91,,19,70,47,115,237,126,81,221,85,108,119,298,157,262,386,406,363,689,184,136,93,121,183,99,302,5443,7.2%
,Costa Rica,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,0%
,Croatia,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,10,0%
,Czechia,,,,163,175,39,64,14,7,11,9,,35,36,,13,,13,,,,,,,3,28,,,1,,11,4,,,626,0.8%
,Czechoslovakia,1,78,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.1%
,Denmark,,,,,,,,,,3,,,,,,,,,,,,,,,5,5,,,,,,,,12,25,0%
,Egypt,9,,15,13,13,12,,,,,,,,,,,,,,,,,,,,,,,,3,,,,5,68,0.1%
,Eritrea,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0%
,Ethiopia,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,European Union**,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,0%
,Finland,,,,,8,3,,,,,1,1,2,6,6,,68,,,,,,,,3,,23,,,,,,,,121,0.2%
,France,85,30,6,,40,12,31,2,1,9,13,,1,5,,32,33,30,14,56,67,51,51,55,41,726,1004,752,601,190,115,344,319,474,5190,6.8%
,Georgia,,,,,,,,,,46,69,,,,5,,,,,,,,,,,,,,,,,,,,120,0.2%
,Germany,19,20,44,13,14,17,26,19,19,13,36,38,40,132,1,403,560,791,263,15,10,15,34,32,40,34,781,256,54,107,333,439,323,599,5536,7.3%
,Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0%
,Hungary,,,,3,,,,24,,,,,34,,,,,,,,,,,41,,,,,,,,,,,101,0.1%
,India,7,,,9,2,2,,,,,,,,,7,15,,,,,,1,,7,35,,33,19,10,15,,20,4,,184,0.2%
,Indonesia,,,,,,,,,,,,,,,,,,,,,,4,,,,,,9,,,,17,,,30,0%
,Iran,,,,,,,,,,,,,,9,,2,15,,3,,,,,,,,,,,,,,,,29,0%
,Israel,,0,0,21,202,,,4,4,7,6,7,18,,6,23,4,1,10,15,2,48,16,21,4,10,28,9,0,11,25,20,5,27,555,0.7%
,Italy,,20,11,2,13,,7,44,1,,21,8,,8,17,21,47,40,17,62,56,40,20,60,225,39,48,78,12,50,634,608,156,63,2423,3.2%
,Jordan,,,,,,,,,,,,,,,,,,0,,,83,,21,9,,,,9,,76,,,,9,207,0.3%
,Kazakhstan,,,,,,,,,2,10,16,,,,,,,,,,,,,,,,,,,,,,,,27,0%
,Kenya,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Kyrgyzstan,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0%
,Libya,36,,,,3,,,3,10,,,,21,16,,,,,3,,,0,,,,,,,,,,,,,93,0.1%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,60,0.1%
,Luxembourg,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
,Malawi,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Malaysia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Moldova,,,,,,,,,,,6,42,60,13,,18,3,19,29,20,,,,,,,,,,,,,,,211,0.3%
,Montenegro,,,,,,,,,,,,,,,,,71,109,,,,,,,,,,1,,,,,,,181,0.2%
,Netherlands,,,,,,1,193,4,,,,,,,,14,48,67,26,4,,,10,10,,22,45,17,151,,,61,94,78,844,1.1%
,Nigeria,3,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,2,3,,8,0%
,North Korea,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Norway,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,13,0%
,Pakistan,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,,,53,,,55,0.1%
,Peru,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,15,0%
,Philippines,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,18,3,,7,,47,2,,10,17,,,,,,,0,,,,30,,,,,,,,,,133,0.2%
,Portugal,,,,1,,,,,,,,,,,,,,,,,,0,0,,,,,,,3,,,,,5,0%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,,14,0%
,Romania,,4,7,,,,5,,,,3,,,24,,,,,,1,,,,0,,,,,,,,,,,44,0.1%
,Russia,,,19,68,239,253,118,166,473,279,415,605,222,505,931,370,319,625,1533,1060,1206,2023,928,454,574,790,1935,2392,2218,919,909,158,310,102,23119,31%
,Saudi Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,3,8,0%
,Serbia,,,,,,,20,5,,,,,,,,,,,,0,,,15,,10,32,16,,,,15,,,,113,0.1%
,Singapore,,,,,,,,,,,,,,,,,,,,30,1,,,,,,,,,,,,36,,68,0.1%
,Slovakia,,,,25,40,49,11,3,,124,33,27,2,,,,,6,0,,,,,,2,,11,10,,1,1,,,,345,0.5%
,South Africa,,,,,4,9,2,6,12,1,13,12,5,8,7,2,45,31,29,10,66,9,38,20,26,34,27,16,8,17,5,17,24,14,515,0.7%
,South Korea,,,,,,,,,,,,,,,,,,,,,,5,,,,,,60,,,8,,,5,78,0.1%
,Soviet Union,864,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,2.5%
,Spain,11,4,,24,48,,,41,,,8,4,,,,25,50,,1,23,9,55,48,74,59,50,128,,,13,3,13,26,26,742,1%
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,11,0%
,Sweden,,,,,,,,,,,,,,,,,,,132,105,158,184,105,,,,103,,,,,,,,787,1%
,Switzerland,19,,,,15,30,30,2,1,1,,,,5,9,,2,,,,,,1,6,0,,,,,1,13,8,5,1,147,0.2%
,Taiwan,,,,,,,,,,,,,,,,,,,,16,,,,,,,,2,,,2,,,,20,0%
,Turkiye,,,,,,,,,,,,,,,,,,8,22,,,4,13,,7,1,19,28,21,2,19,59,78,73,355,0.5%
,UAE,2,,,,,,,,,,,,,,,,2,,,,,3,70,75,68,54,59,51,74,83,65,56,15,14,689,0.9%
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,4,0%
,Ukraine,,,,,6,33,61,16,157,145,124,89,76,61,19,56,48,66,129,164,319,250,350,124,162,20,100,60,,5,8,,,,2645,3.5%
,United Kingdom,38,32,113,55,30,8,13,12,9,,1,11,1,16,,18,129,59,80,,51,42,8,9,,42,38,2,,,1,,4,104,928,1.2%
,United States,482,839,933,1011,1804,1674,784,982,500,484,841,883,581,358,495,599,469,395,269,56,293,251,214,583,321,637,230,238,228,195,159,73,89,117,18067,24%
,unknown supplier(s),10,2,3,20,,1,4,10,2,2,9,11,5,11,12,52,8,0,18,9,7,5,4,,24,1,,,,7,3,32,8,77,351,0.5%
,Zambia,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
Central America and the Caribbean,Regional total,314,224,23,177,141,64,103,495,39,148,272,154,118,38,368,48,88,43,39,97,186,250,275,74,162,439,476,239,41,62,261,71,23,30,5583,100%
,Australia,,,,,,,,,,,,,,,,,,,,,24,,,,,2,2,,,,,34,,,62,1.1%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,0%
,Belgium,,,,,39,21,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,1.6%
,Brazil,,,,,,,,,,,,,,,36,,,,,9,27,,,,,,,,,,,,,,72,1.3%
,Canada,2,1,1,,,,,,,,,,9,,,2,1,0,,4,6,9,2,,15,11,9,4,1,3,,,,,79,1.4%
,Chile,,,,,,,,,2,1,1,,,,,,,,,,,,,,20,,,,,,,,,,24,0.4%
,China,,,,,,,,,,,,,,,,,6,,,,,,,,,16,,0,,,,,,,22,0.4%
,Colombia,,,,,,,,,,,,,6,,,,,,,,,,,,,,,10,,10,,,,,26,0.5%
,Czechia,,,,,,,,,,,,,1,,,,,,,,,,,1,2,0,,,,,,,,,3,0.1%
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,0%
,Finland,,,1,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3%
,FMLN (El Salvador)*,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,France,,,3,3,,,,,,5,,,,,,7,,,,,15,16,64,16,24,,36,30,8,,9,,,,235,4.2%
,Germany,,6,,2,6,,,,,,,,,,7,,,,,,,,,,,10,,,,,,,,,30,0.5%
,Israel,,3,3,3,3,,,,,,,,19,,162,19,,,3,4,21,12,,,13,4,25,0,1,23,,,1,,318,5.7%
,Italy,,,,,,3,,,,,4,4,,10,,,,,,0,,21,53,,,,,,,,,,,0,94,1.7%
,Netherlands,,,,,,,,,,,,,,,,10,10,20,10,10,,,20,20,50,66,90,42,,13,221,10,,10,601,11%
,Nicaragua,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.1%
,Qatar,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0%
,Russia,,,,,29,29,24,193,,87,65,,2,,8,,36,,,15,7,,22,,13,14,86,7,,,,,,,637,11%
,Soviet Union,276,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,435,7.8%
,Spain,,8,,,,,,,,,11,,,,,,,14,,25,59,92,51,,,117,,,,2,,,,3,383,6.9%
,Sweden,,,,,,,,,,10,5,3,,3,30,,,,,,,,,,,,3,3,3,,3,3,,,63,1.1%
,Switzerland,6,5,6,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,20,0.4%
,Taiwan,,,,,,,2,,,,,,,,,,,,,,,,2,,,4,2,,,,,,,,10,0.2%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0.1%
,Ukraine,,,,,,,,22,11,11,18,,,,,,,,,,,,,,,,,,,,,,,,62,1.1%
,United Kingdom,,,,,,,0,,,,9,,,,,,,,,,,,,,,,,,,,,,,,9,0.2%
,United States,28,41,10,163,59,9,49,280,26,33,160,148,80,26,126,10,29,9,25,30,27,100,61,37,26,192,223,144,28,11,29,25,22,13,2281,41%
,unknown supplier(s),,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,0,,,0,3,0.1%
,Venezuela,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0%
Central Asia,Regional total,0,0,0,0,29,99,2,64,0,72,121,147,31,28,76,47,60,90,35,113,117,300,207,216,173,720,757,364,395,327,315,524,229,164,5823,100%
,Austria,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,3,0.1%
,Belarus,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,1,,,,,,,4,0.1%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,23,0.4%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,0.1%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,3,,,,3,,2,22,0.4%
,China,,,,,,,,,,,,,,,,,,,,,,,,,16,,241,16,110,1,,,,,384,6.6%
,Czechia,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,5,7,0.1%
,France,,,,,,,,,,,,,,,,,,,,,,,,2,15,36,27,1,,22,,37,22,20,182,3.1%
,Georgia,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,12,0.2%
,Germany,,,,,,,,,,,,,,,,,,,,,,7,3,3,3,6,16,19,,,,6,,,63,1.1%
,Israel,,,,,,,,,,,,,,,,,,,18,20,8,,,,,,0,,1,1,,2,,,51,0.9%
,Italy,,,,,,,,,,,,,,,,,,,,,,27,3,5,5,10,19,11,,,,133,,,212,3.6%
,Kazakhstan,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,6,0.1%
,Netherlands,,,,,,,,,,,,,,,,,,,,,,5,5,10,10,14,5,,,,,,,,48,0.8%
,Russia,,,,,29,99,2,64,,68,121,144,31,10,31,43,42,79,8,90,109,183,133,69,46,497,250,200,274,287,312,139,190,101,3652,63%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,2,0%
,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,7,7,2,,,,29,0.5%
,South Korea,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,14,0.2%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,50,25,,,,,,13,163,2.8%
,Turkiye,,,,,,,,,,3,,3,,,,,,,,,,20,21,40,46,92,129,78,3,8,1,161,17,24,645,11%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,3,0.1%
,Ukraine,,,,,,,,,,1,,,,18,9,4,2,5,7,,,53,40,56,1,,,,,,,,,,195,3.3%
,United States,,,,,,,,,,,,,,,19,,,6,3,3,,,3,,3,36,5,3,0,1,,18,,,99,1.7%
,unknown supplier(s),,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0%
Central Europe,Regional total,2577,699,441,1173,262,557,599,324,261,386,251,400,371,543,694,1340,889,1419,1073,483,429,402,318,288,318,220,373,420,236,491,769,624,1023,2618,23272,100%
,Austria,,,,,,,,,,2,2,2,2,2,2,3,3,2,,5,9,10,7,2,,1,,20,4,1,5,,,,85,0.4%
,Belarus,,,,,,,104,,,,,,,,,,,,,,,,,,,,,,,,,75,,,179,0.8%
,Belgium,,,,,,,,,,,,,,,,132,,,80,102,1,,,,,,,,,,,,,,315,1.4%
,Bulgaria,6,6,5,,,,,1,,77,0,,,,,,,,,,,,,,9,,,,,,,,,,103,0.4%
